latent_dim,learning_rate,batch_size,dropout_rate,n_hidden_layers,val_loss,train_time_s
32,0.0001,32,0.0,1,0.3866618573665619,61.81995224952698
32,0.0001,128,0.0,1,0.7344979643821716,21.857697010040283
32,0.0001,32,0.0,2,0.9292144775390625,68.61230278015137
64,0.0001,128,0.0,2,1.0699243545532227,22.712167263031006
16,0.001,64,0.0,1,1.5019320249557495,12.336400985717773
16,0.001,64,0.0,3,1.5150502920150757,22.256152868270874
32,0.0001,32,0.1,1,1.671679139137268,44.51461601257324
64,0.001,128,0.0,2,1.9253337383270264,11.089342832565308
64,0.0001,32,0.1,3,2.2266135215759277,50.05119800567627
8,0.001,64,0.0,3,2.269458055496216,24.91686987876892
16,0.0001,64,0.0,1,2.2720680236816406,31.715845108032227
32,0.001,64,0.1,1,2.306023359298706,7.038301944732666
32,0.0001,32,0.1,2,2.453451156616211,50.86582612991333
64,0.0001,64,0.1,2,2.545491933822632,37.10352921485901
32,0.0001,32,0.2,1,2.605087995529175,54.53438901901245
32,0.001,32,0.3,1,2.739893674850464,15.137347936630249
32,0.001,64,0.0,2,2.802103281021118,8.289198875427246
16,0.0001,128,0.0,3,2.839933156967163,25.822359085083008
64,0.0001,32,0.2,2,2.8662736415863037,54.699303150177
8,0.001,32,0.0,3,2.924720525741577,18.626103162765503
8,0.0001,64,0.0,2,2.993621349334717,33.96710991859436
16,0.001,32,0.0,1,3.0304384231567383,13.210295915603638
16,0.001,64,0.1,1,3.1642181873321533,11.417176961898804
64,0.001,128,0.1,1,3.1710691452026367,5.073378086090088
64,0.001,64,0.2,1,3.4807376861572266,7.861802101135254
8,0.0001,32,0.0,1,3.5157992839813232,56.86518621444702
32,0.001,128,0.0,3,3.6157169342041016,9.762294054031372
16,0.001,64,0.1,2,3.6594910621643066,12.457408905029297
64,0.0001,32,0.3,1,3.7153735160827637,37.14579391479492
16,0.001,64,0.2,1,3.7164597511291504,12.88909387588501
64,0.0001,64,0.3,1,3.8488073348999023,27.457340955734253
64,0.001,128,0.0,3,3.9518141746520996,9.165937900543213
32,0.001,64,0.1,2,4.523674011230469,12.777788877487183
16,0.01,64,0.0,1,5.124571800231934,16.654146194458008
16,0.001,32,0.1,3,5.148271083831787,27.659032821655273
32,0.01,128,0.1,1,5.368356227874756,4.735621213912964
32,0.001,32,0.0,3,5.4267425537109375,16.484299898147583
16,0.001,128,0.2,2,5.581578731536865,12.254002809524536
8,0.0001,32,0.1,1,5.978916168212891,63.20279002189636
64,0.001,64,0.3,2,6.592197418212891,16.479029893875122
64,0.001,32,0.0,2,6.925293445587158,12.398918151855469
32,0.0001,64,0.2,2,6.931473255157471,42.683855056762695
16,0.001,32,0.2,2,7.048430442810059,30.530179977416992
64,0.001,64,0.1,2,7.252053260803223,9.325409173965454
16,0.001,32,0.3,1,7.503269195556641,23.06487727165222
8,0.001,32,0.3,1,7.830092906951904,28.16189694404602
16,0.001,128,0.1,3,8.223211288452148,8.128811120986938
8,0.001,128,0.2,1,8.281380653381348,12.771310091018677
64,0.0001,64,0.3,2,8.39809799194336,47.400753021240234
64,0.001,32,0.1,3,9.170380592346191,28.11240291595459
8,0.0001,64,0.1,2,12.86594009399414,37.258650064468384
8,0.0001,128,0.0,1,13.846297264099121,19.387237071990967
32,0.0001,64,0.3,2,14.142817497253418,43.352115869522095
32,0.001,32,0.3,2,14.901595115661621,19.982637882232666
32,0.01,128,0.3,1,16.65316390991211,3.295305013656616
16,0.0001,128,0.3,1,17.441787719726562,20.62280297279358
32,0.01,64,0.0,1,18.2534236907959,8.30573296546936
64,0.01,128,0.2,1,18.33379554748535,5.008623123168945
16,0.0001,64,0.2,2,19.250192642211914,38.370272159576416
16,0.01,128,0.0,2,21.627471923828125,3.549980878829956
8,0.01,64,0.0,3,22.389238357543945,11.20779824256897
64,0.01,64,0.1,1,24.94338035583496,10.928161859512329
8,0.0001,64,0.3,1,32.601688385009766,31.037755966186523
16,0.0001,128,0.2,2,35.40788650512695,25.25973391532898
8,0.01,128,0.0,3,38.38374710083008,3.591578722000122
8,0.01,32,0.1,2,40.72581481933594,15.089972972869873
