number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_hidden_units,params_latent_dim,params_learning_rate,params_n_hidden_layers,state
0,0.1450357586145401,2026-07-28 16:54:01.795155,2026-07-28 16:54:13.185569,0 days 00:00:11.390414,relu,128,0.2,32,8,0.0001,3,COMPLETE
1,0.027647433802485466,2026-07-28 16:54:13.185981,2026-07-28 16:54:39.069755,0 days 00:00:25.883774,sigmoid,32,0.3,64,128,0.01,1,COMPLETE
2,0.038851719349622726,2026-07-28 16:54:39.074721,2026-07-28 16:54:52.817508,0 days 00:00:13.742787,sigmoid,128,0.1,64,128,0.005,2,COMPLETE
3,0.143672913312912,2026-07-28 16:54:52.817892,2026-07-28 16:55:00.946036,0 days 00:00:08.128144,relu,256,0.3,32,32,0.001,3,COMPLETE
4,0.11305057257413864,2026-07-28 16:55:00.946843,2026-07-28 16:55:07.943177,0 days 00:00:06.996334,tanh,128,0.2,16,16,0.0001,1,COMPLETE
5,0.1320478320121765,2026-07-28 16:55:07.943571,2026-07-28 16:55:21.343827,0 days 00:00:13.400256,sigmoid,256,0.3,128,64,0.0001,1,COMPLETE
6,0.04184771329164505,2026-07-28 16:55:21.346311,2026-07-28 16:55:28.596939,0 days 00:00:07.250628,sigmoid,128,0.0,16,64,0.01,1,COMPLETE
7,0.053375087678432465,2026-07-28 16:55:28.597371,2026-07-28 16:55:33.555316,0 days 00:00:04.957945,relu,256,0.0,16,16,0.0005,2,COMPLETE
8,0.04050322622060776,2026-07-28 16:55:33.555679,2026-07-28 16:55:37.127895,0 days 00:00:03.572216,relu,128,0.1,32,64,0.01,1,COMPLETE
9,0.1468413770198822,2026-07-28 16:55:37.128341,2026-07-28 16:55:59.436540,0 days 00:00:22.308199,sigmoid,32,0.2,16,128,0.0001,1,COMPLETE
10,0.11861077696084976,2026-07-28 16:55:59.442206,2026-07-28 16:56:10.137066,0 days 00:00:10.694860,tanh,32,0.3,64,128,0.01,2,COMPLETE
11,0.031891632825136185,2026-07-28 16:56:10.137816,2026-07-28 16:56:28.737010,0 days 00:00:18.599194,sigmoid,64,0.1,64,128,0.005,2,COMPLETE
12,0.03382501006126404,2026-07-28 16:56:28.737415,2026-07-28 16:56:47.257090,0 days 00:00:18.519675,sigmoid,64,0.1,64,128,0.005,2,COMPLETE
13,0.02562236785888672,2026-07-28 16:56:47.258729,2026-07-28 16:57:05.520327,0 days 00:00:18.261598,sigmoid,64,0.1,64,128,0.005,2,COMPLETE
14,0.15410348773002625,2026-07-28 16:57:05.520750,2026-07-28 16:57:26.239611,0 days 00:00:20.718861,sigmoid,64,0.3,64,32,0.0005,3,COMPLETE
15,0.021484119817614555,2026-07-28 16:57:26.240150,2026-07-28 16:57:51.691804,0 days 00:00:25.451654,sigmoid,32,0.1,128,8,0.001,1,COMPLETE
16,0.029397694393992424,2026-07-28 16:57:51.692479,2026-07-28 16:58:25.187502,0 days 00:00:33.495023,tanh,32,0.1,128,8,0.001,2,COMPLETE
17,0.05248834192752838,2026-07-28 16:58:25.187971,2026-07-28 16:58:47.476983,0 days 00:00:22.289012,sigmoid,64,0.1,128,8,0.001,2,COMPLETE
18,0.03111114166676998,2026-07-28 16:58:47.477679,2026-07-28 16:59:03.505461,0 days 00:00:16.027782,sigmoid,64,0.1,128,8,0.001,1,COMPLETE
19,0.09464413672685623,2026-07-28 16:59:03.506241,2026-07-28 16:59:21.289121,0 days 00:00:17.782880,tanh,32,0.1,128,8,0.005,3,COMPLETE
20,0.007573656737804413,2026-07-28 16:59:21.289701,2026-07-28 16:59:52.576306,0 days 00:00:31.286605,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
21,0.01103946566581726,2026-07-28 16:59:52.577808,2026-07-28 17:00:27.108558,0 days 00:00:34.530750,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
22,0.007166579831391573,2026-07-28 17:00:27.118304,2026-07-28 17:01:00.334845,0 days 00:00:33.216541,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
23,0.0072584026493132114,2026-07-28 17:01:00.336617,2026-07-28 17:01:39.963958,0 days 00:00:39.627341,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
24,0.007746380288153887,2026-07-28 17:01:39.971063,2026-07-28 17:02:16.940006,0 days 00:00:36.968943,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
25,0.0075782956555485725,2026-07-28 17:02:16.942096,2026-07-28 17:02:51.047329,0 days 00:00:34.105233,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
26,0.0064042313024401665,2026-07-28 17:02:51.048858,2026-07-28 17:03:24.031540,0 days 00:00:32.982682,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
27,0.006551399827003479,2026-07-28 17:03:24.033092,2026-07-28 17:03:55.688154,0 days 00:00:31.655062,sigmoid,32,0.0,128,32,0.001,2,COMPLETE
28,0.004949552938342094,2026-07-28 17:03:55.689630,2026-07-28 17:04:27.294848,0 days 00:00:31.605218,tanh,32,0.0,128,32,0.001,2,COMPLETE
29,0.019272027537226677,2026-07-28 17:04:27.296361,2026-07-28 17:04:56.198631,0 days 00:00:28.902270,tanh,32,0.0,32,32,0.0005,3,COMPLETE
