number,value,datetime_start,datetime_complete,duration,params_activation_decoder,params_activation_encoder,params_batch_size,params_dropout_rate,params_hidden_units,params_latent_dim,params_learning_rate,params_n_hidden_layers,state
0,0.12282408028841019,2026-07-28 17:10:30.037823,2026-07-28 17:10:37.159329,0 days 00:00:07.121506,linear,relu,128,0.1,32,16,0.01,3,COMPLETE
1,0.07871512323617935,2026-07-28 17:10:37.160133,2026-07-28 17:10:45.907376,0 days 00:00:08.747243,sigmoid,tanh,256,0.2,32,64,0.0005,1,COMPLETE
2,0.09429120272397995,2026-07-28 17:10:45.908185,2026-07-28 17:11:17.557549,0 days 00:00:31.649364,sigmoid,tanh,32,0.0,64,8,0.0001,1,COMPLETE
3,0.127231627702713,2026-07-28 17:11:17.558097,2026-07-28 17:11:41.670484,0 days 00:00:24.112387,sigmoid,tanh,256,0.1,128,8,0.0001,2,COMPLETE
4,0.02178943157196045,2026-07-28 17:11:41.671102,2026-07-28 17:12:01.429964,0 days 00:00:19.758862,sigmoid,tanh,128,0.0,128,128,0.01,2,COMPLETE
5,0.08977895975112915,2026-07-28 17:12:01.431496,2026-07-28 17:12:20.107166,0 days 00:00:18.675670,relu,relu,64,0.3,64,32,0.005,2,COMPLETE
6,0.05948331952095032,2026-07-28 17:12:20.107686,2026-07-28 17:12:33.629743,0 days 00:00:13.522057,relu,tanh,32,0.0,32,8,0.01,2,COMPLETE
7,0.0942329615354538,2026-07-28 17:12:33.636101,2026-07-28 17:12:53.806618,0 days 00:00:20.170517,sigmoid,relu,128,0.0,64,128,0.0001,3,COMPLETE
8,0.0034284316934645176,2026-07-28 17:12:53.808406,2026-07-28 17:13:16.009402,0 days 00:00:22.200996,relu,relu,64,0.0,128,16,0.001,2,COMPLETE
9,0.11592385172843933,2026-07-28 17:13:16.009820,2026-07-28 17:13:36.881947,0 days 00:00:20.872127,relu,relu,32,0.3,16,32,0.0001,1,COMPLETE
10,0.04789019748568535,2026-07-28 17:13:36.882681,2026-07-28 17:13:55.238315,0 days 00:00:18.355634,linear,relu,64,0.2,128,16,0.001,2,COMPLETE
11,0.003607415594160557,2026-07-28 17:13:55.238700,2026-07-28 17:14:06.054702,0 days 00:00:10.816002,relu,tanh,128,0.0,128,128,0.001,2,COMPLETE
12,0.003348889062181115,2026-07-28 17:14:06.057827,2026-07-28 17:14:33.736802,0 days 00:00:27.678975,relu,tanh,64,0.0,128,128,0.001,2,COMPLETE
13,0.0043264152482151985,2026-07-28 17:14:33.737687,2026-07-28 17:14:54.897397,0 days 00:00:21.159710,relu,relu,64,0.0,128,16,0.001,2,COMPLETE
14,0.037953492254018784,2026-07-28 17:14:54.897801,2026-07-28 17:15:10.515783,0 days 00:00:15.617982,relu,tanh,64,0.0,16,64,0.001,2,COMPLETE
15,0.012581721879541874,2026-07-28 17:15:10.517557,2026-07-28 17:15:28.638688,0 days 00:00:18.121131,relu,relu,64,0.0,128,128,0.001,3,COMPLETE
16,0.04488649591803551,2026-07-28 17:15:28.639164,2026-07-28 17:15:43.406613,0 days 00:00:14.767449,linear,relu,64,0.2,128,16,0.0005,2,COMPLETE
17,0.046162303537130356,2026-07-28 17:15:43.407020,2026-07-28 17:16:02.088082,0 days 00:00:18.681062,relu,tanh,64,0.3,128,16,0.005,2,COMPLETE
18,0.04840400069952011,2026-07-28 17:16:02.088546,2026-07-28 17:16:14.559048,0 days 00:00:12.470502,relu,tanh,64,0.1,16,128,0.001,1,COMPLETE
19,0.004858067724853754,2026-07-28 17:16:14.560455,2026-07-28 17:16:27.251268,0 days 00:00:12.690813,relu,relu,256,0.0,128,64,0.001,3,COMPLETE
20,0.038733888417482376,2026-07-28 17:16:27.252599,2026-07-28 17:16:41.657536,0 days 00:00:14.404937,linear,relu,64,0.0,128,16,0.001,2,COMPLETE
21,0.002564140362665057,2026-07-28 17:16:41.657912,2026-07-28 17:17:05.271684,0 days 00:00:23.613772,relu,tanh,64,0.0,128,128,0.001,2,COMPLETE
22,0.0026770206168293953,2026-07-28 17:17:05.272137,2026-07-28 17:17:27.780028,0 days 00:00:22.507891,relu,tanh,64,0.0,128,128,0.001,2,COMPLETE
23,0.0037458273582160473,2026-07-28 17:17:27.781472,2026-07-28 17:17:40.429716,0 days 00:00:12.648244,relu,tanh,64,0.0,128,128,0.001,2,COMPLETE
